CustomerID,Recency,Frequency,Monetary
12346.0,325,1,77183.6
12347.0,2,7,4309.999999999999
12348.0,75,4,1797.24
12349.0,18,1,1757.55
12350.0,310,1,334.4
12352.0,36,8,2506.04
12353.0,204,1,89.0
12354.0,232,1,1079.4
12355.0,214,1,459.4
12356.0,22,3,2811.43
12357.0,33,1,6207.67
12358.0,1,2,1168.06
12359.0,57,4,6310.03
12360.0,52,3,2662.06
12361.0,287,1,189.9
12362.0,3,10,5226.23
12363.0,109,2,552.0
12364.0,7,4,1313.1
12365.0,291,2,641.38
12367.0,4,1,168.9
12370.0,51,4,3541.9399999999996
12371.0,44,2,1887.96
12372.0,71,3,1298.04
12373.0,311,1,364.6
12374.0,25,1,742.9300000000001
12375.0,10,2,457.5
12377.0,315,2,1628.12
12378.0,129,1,4008.62
12379.0,81,2,852.24
12380.0,21,4,2724.8100000000004
12381.0,4,5,1845.31
12383.0,184,5,1850.5600000000002
12384.0,28,2,585.27
12386.0,337,2,401.9
12388.0,15,6,2780.6600000000003
12390.0,79,1,549.84
12391.0,21,1,439.66
12393.0,72,4,1582.6
12394.0,63,2,1272.48
12395.0,19,12,3018.6299999999997
12397.0,35,2,2409.8999999999996
12398.0,45,1,1635.6599999999999
12399.0,119,4,1108.65
12401.0,303,1,84.3
12402.0,323,1,225.6
12403.0,49,1,427.7
12405.0,148,1,1710.39
12406.0,22,2,3415.3
12407.0,49,5,1708.12
12408.0,32,5,2888.55
12409.0,78,3,11072.67
12410.0,308,2,693.3299999999999
12412.0,74,3,1226.88
12413.0,66,3,758.1
12414.0,217,3,562.41
12415.0,24,21,124914.53000000003
12417.0,3,9,3649.1
12418.0,112,1,668.58
12420.0,63,1,600.39
12421.0,15,4,807.04
12422.0,95,3,803.56
12423.0,0,8,1859.31
12424.0,162,2,1760.9600000000003
12425.0,78,1,777.2
12426.0,194,1,582.73
12427.0,21,3,825.8
12428.0,25,9,7956.46
12429.0,9,4,3750.4
12430.0,43,1,256.4
12431.0,35,15,6419.950000000001
12432.0,42,5,5059.320000000001
12433.0,0,7,13375.869999999999
12434.0,84,2,806.14
12435.0,79,2,7829.89
12436.0,99,1,509.01
12437.0,1,18,4951.41
12438.0,14,2,2906.85
12441.0,366,1,173.55
12442.0,3,1,172.06
12444.0,21,5,5005.46
12445.0,22,1,133.4
12446.0,57,1,1002.3100000000001
12447.0,243,1,476.49
12448.0,44,1,449.45
12449.0,22,4,4067.29
12450.0,156,2,197.88
12451.0,10,5,9035.519999999999
12452.0,16,2,430.57
12453.0,134,1,707.09
12454.0,56,1,3528.34
12455.0,73,6,2466.86
12456.0,44,3,3181.04
12457.0,66,7,2363.23
12458.0,71,2,947.4000000000001
12461.0,94,2,826.88
12462.0,18,2,1189.5900000000001
12463.0,53,4,1344.7800000000002
12464.0,10,8,1212.05
12465.0,17,2,742.19
12468.0,187,2,729.5400000000001
12471.0,2,30,19788.65
12472.0,32,7,6572.110000000001
12473.0,29,5,3928.05
12474.0,17,18,7324.09
12475.0,53,1,723.38
12476.0,15,11,6816.419999999999
12477.0,22,6,13219.74
12478.0,3,1,680.99
12479.0,11,1,527.2
12480.0,28,4,3281.6299999999997
12481.0,22,10,5579.820000000001
12483.0,17,8,2484.98
12484.0,32,6,4527.32
12488.0,9,3,1298.66
12489.0,336,1,334.93
12490.0,5,10,5417.93
12491.0,38,1,460.40000000000003
12492.0,63,2,263.21000000000004
12493.0,165,2,433.74
12494.0,15,7,1246.1000000000001
12497.0,81,1,1043.1
12498.0,21,3,403.7
12500.0,23,11,4257.82
12501.0,336,1,2169.39
12502.0,95,5,3723.87
12504.0,18,2,482.04999999999995
12506.0,232,1,73.5
12507.0,134,3,1304.81
12508.0,26,2,397.88
12509.0,284,1,176.5
12510.0,142,2,982.5699999999999
12512.0,66,2,132.18
12513.0,112,1,612.29
12514.0,267,1,1017.68
12515.0,353,1,383.7
12516.0,77,2,1312.06
12517.0,28,5,2481.6
12518.0,0,5,2056.89
12519.0,63,1,330.84
12520.0,79,5,2634.2599999999998
12521.0,142,1,599.68
12522.0,39,2,192.72
12523.0,19,11,1789.7700000000002
12524.0,9,8,4485.72
12526.0,0,3,1316.6599999999999
12527.0,81,3,348.71000000000004
12528.0,9,6,1933.48
12530.0,59,4,1662.2800000000002
12531.0,14,1,125.22
12532.0,30,1,349.83000000000004
12534.0,130,1,1089.18
12535.0,91,2,716.3499999999999
12536.0,43,3,12601.830000000002
12538.0,29,1,363.95
12539.0,22,4,5568.349999999999
12540.0,19,17,13400.24
12541.0,29,3,981.18
12544.0,36,1,372.7
12545.0,75,2,1000.39
12546.0,46,2,1161.5
12547.0,197,2,207.8
12548.0,166,1,95.19999999999999
12550.0,79,1,964.83
12551.0,357,1,168.0
12552.0,38,2,437.82
12553.0,8,10,3692.2799999999997
12556.0,50,2,599.56
12557.0,16,5,11990.960000000001
12558.0,7,1,269.96
12559.0,310,2,561.71
12560.0,5,3,2134.01
12561.0,302,1,238.85
12562.0,8,7,3781.74
12564.0,261,1,456.9
12565.0,288,1,145.92
12566.0,86,1,351.65
12567.0,22,10,9401.279999999999
12569.0,2,32,4124.6900000000005
12571.0,39,2,519.61
12572.0,8,2,1020.4200000000001
12573.0,227,1,160.54000000000002
12574.0,315,1,218.45
12576.0,35,5,1315.83
12577.0,35,3,626.6
12578.0,21,2,2794.51
12579.0,78,1,440.42
12580.0,246,1,415.7
12581.0,39,1,197.71
12582.0,238,2,511.36
12583.0,2,15,7281.379999999999
12584.0,3,9,2338.15
12585.0,234,2,2040.1
12586.0,17,1,196.94000000000003
12587.0,7,1,144.0
12588.0,39,1,214.89999999999998
12589.0,28,2,646.6800000000001
12590.0,211,2,9864.26
12591.0,317,1,452.84999999999997
12592.0,92,2,437.6
12593.0,108,3,418.1
12594.0,37,10,3338.2200000000003
12596.0,51,2,618.27
12597.0,19,4,3811.22
12598.0,9,8,3023.08
12599.0,29,7,1032.58
12600.0,28,10,2599.04
12601.0,189,5,577.0600000000001
12602.0,58,1,153.12
12603.0,21,1,739.1999999999999
12604.0,79,2,254.18
12607.0,60,1,1579.51
12609.0,78,3,1126.85
12610.0,22,5,2099.54
12611.0,52,1,1193.32
12612.0,74,1,704.0400000000001
12613.0,57,5,3344.38
12614.0,277,1,315.6
12615.0,2,4,2291.19
12616.0,95,2,713.3
12617.0,29,1,352.98
12618.0,21,1,177.31
12619.0,16,9,3641.24
12620.0,14,3,1339.4099999999999
12621.0,1,20,13689.67
12622.0,232,1,180.1
12623.0,276,1,305.1
12624.0,106,2,641.13
12625.0,211,2,2683.8199999999997
12626.0,23,9,6620.48
12627.0,10,7,4478.530000000001
12628.0,4,3,786.46
12630.0,9,2,1270.88
12631.0,57,1,640.5
12633.0,58,4,2163.9800000000005
12635.0,89,2,1689.1799999999998
12637.0,67,9,6002.9
12638.0,33,1,671.69
12639.0,238,1,486.1
12640.0,23,3,1174.5800000000002
12641.0,115,1,185.9
12642.0,25,3,1013.2600000000001
12643.0,128,6,3344.6400000000003
12644.0,129,1,477.91
12645.0,33,4,1775.18
12646.0,4,2,1346.9699999999998
12647.0,22,12,3722.82
12648.0,154,1,318.05
12649.0,107,3,623.51
12650.0,3,1,314.44
12651.0,334,1,114.0
12652.0,331,1,919.98
12653.0,148,2,2209.85
12654.0,10,5,601.98
12656.0,17,5,4051.17
12657.0,11,4,1643.1799999999998
12658.0,18,1,686.05
12659.0,29,1,91.68
12660.0,11,1,245.1
12662.0,0,11,3849.78
12664.0,8,9,4881.88
12665.0,324,1,63.0
12667.0,58,1,620.13
12668.0,11,4,3807.1500000000005
12669.0,150,3,2744.0299999999997
12670.0,10,5,2996.0499999999997
12672.0,329,1,225.89999999999998
12673.0,5,2,610.52
12674.0,38,4,1970.6
12676.0,24,6,1331.39
12678.0,42,12,17628.460000000003
12679.0,58,4,1113.02
12680.0,0,4,862.81
12681.0,14,22,13787.54
12682.0,3,31,12279.819999999998
12683.0,4,15,8476.57
12684.0,7,7,2283.63
12685.0,28,6,2863.08
12686.0,371,1,89.14
12688.0,113,1,4873.8099999999995
12689.0,25,2,1247.61
12690.0,205,1,389.01
12691.0,28,6,1035.8
12693.0,127,4,855.91
12694.0,70,2,869.6700000000001
12695.0,7,4,582.1
12697.0,28,3,957.5899999999999
12700.0,7,4,4939.99
12701.0,79,2,797.71
12702.0,19,1,219.0
12703.0,71,1,283.55
12704.0,7,8,2340.84
12705.0,15,9,6868.290000000001
12707.0,291,1,603.42
12708.0,29,10,2712.9100000000003
12709.0,15,15,9706.52
12710.0,96,3,1149.02
12712.0,28,13,4396.13
12713.0,0,1,848.55
12714.0,9,5,4708.860000000001
12715.0,106,1,343.36
12716.0,3,2,1053.49
12717.0,151,2,1030.98
12718.0,71,1,238.25
12719.0,5,2,644.95
12720.0,2,25,5781.7300000000005
12721.0,31,6,2656.13
12722.0,85,4,997.6300000000001
12723.0,3,5,725.0699999999999
12724.0,5,4,1031.41
12725.0,371,1,427.8
